block_height,hash,waiting_time,gas_price,gas_used,fees
6819120,d29bf2,3,10000000000,21000,210000000000000
6819548,e85956,28,15000000000,91827,1377405000000000
6819433,48ab7a,25,30000000000,25686,770580000000000
6819534,178464,1,62000000000,143081,8871022000000000
6819047,dd494d,3,35000000000,21000,735000000000000
6819245,ea9d20,6,21000000000,52674,1106154000000000
6819295,0f73ef,1,62000000000,143081,8871022000000000
6819053,f9edaa,4,33000000000,53074,1751442000000000
6819296,91737b,-7,50000000000,21000,1050000000000000
6819023,9e1140,45,4000000000,211779,847116000000000
6819103,de5e2d,2,9000000000,81240,731160000000000
6819041,f654c7,0,10000000000,21000,210000000000000
6819363,9bcace,32,1000000000,21000,21000000000000
6819583,24e0dd,15,50000000000,21000,1050000000000000
6819075,1d903b,13,16000000000,21000,336000000000000
6819448,caf0e9,3,60000000000,21000,1260000000000000
6819335,9213ce,3,15000000000,58637,879555000000000
6819558,5bc723,2,20000000000,36621,732420000000000
6819210,69045e,2,50000000000,21000,1050000000000000
6819230,640932,2,50000000000,50057,2502850000000000
6819343,a86b94,3,30000000000,21000,630000000000000
6819604,d43f8f,7,66000000000,37879,2500014000000000
6819004,f2231d,9,41000000000,21000,861000000000000
6819297,8dac71,17,19800000000,243089,4813162200000000
6819030,59c36a,1,62000000000,21000,1302000000000000
6819556,fad876,3,50000000000,37336,1866800000000000
6819569,13794d,82,10000000000,21051,210510000000000
6819129,3e7e7e,0,16240000000,60689,985589360000000
6819459,c1a485,3,41000000000,21000,861000000000000
6819124,72aa5d,12,22000000000,62399,1372778000000000
6819283,f2ebc1,5,23000000000,21000,483000000000000
6819086,1bf867,6,20000000000,38455,769100000000000
6819204,b937b5,0,60000000000,21000,1260000000000000
6819536,65ba9e,8,20000000000,21000,420000000000000
6819503,70fd52,6,10000000000,21000,210000000000000
6819531,77d5f2,2,50000000000,71194,3559700000000000
6819123,f4aef1,5,35218750000,52475,1848103906250000
6819303,1ed670,6,56000000000,37519,2101064000000000
6819336,65bb56,22,50000000000,21051,1052550000000000
6819523,e3397c,19,50000000000,46537,2326850000000000
6819560,9e8886,3022,4000000000,86045,344180000000000
6819179,9d647a,6,15000000000,91827,1377405000000000
6819052,e2baf7,8,51000000000,21000,1071000000000000
6819565,7480d2,2,41000000000,21000,861000000000000
6819212,79c301,45,62000000000,143081,8871022000000000
6819117,bf1d38,4,71000000000,21000,1491000000000000
6819455,8aef0a,1,31000000000,21000,651000000000000
6819095,12b12e,23,50000000000,21000,1050000000000000
6819157,65504b,0,62000000000,21000,1302000000000000
6819405,a75b39,31,71000000000,21000,1491000000000000
6819259,74485c,0,31000000000,59231,1836161000000000
6819141,daabe0,26,51900000000,30416,1578590400000000
6819514,5e3fce,14,50000000000,53101,2655050000000000
6819315,52c36f,27,5000000000,51835,259175000000000
6819004,998d39,6,50000000000,21000,1050000000000000
6819443,5afcc7,2,20000000000,21000,420000000000000
6819050,4fe209,4,71000000000,21000,1491000000000000
6819605,a6aa69,14,66000000000,37879,2500014000000000
6819037,f6b371,13,71000000000,21000,1491000000000000
6819204,d74f0a,0,97000000000,38010,3686970000000000
6819315,398154,371,4000000000,52146,208584000000000
6819097,40de0e,18,10000000000,21000,210000000000000
6819431,a29541,12,62000000000,143081,8871022000000000
6819417,8389a5,0,27000000000,37780,1020060000000000
6819165,0af6b1,0,1000000000,21000,21000000000000
6819142,526990,0,1000000000,21000,21000000000000
6819591,3c9b2e,33,66000000000,37879,2500014000000000
6819342,299eb2,50,62000000000,143081,8871022000000000
6819433,a7f00c,10,41000000000,21000,861000000000000
6819433,2b4caa,27,25000000000,51919,1297975000000000
6819141,33c7f7,26,51900000000,30416,1578590400000000
6819287,a1529c,4,50000000000,21000,1050000000000000
6819000,a13c55,23,50000000000,21000,1050000000000000
6819471,0cb57d,18,50000000000,21000,1050000000000000
6819168,e0b90e,3,60000000000,21000,1260000000000000
6819580,ac6cfa,6,62000000000,143081,8871022000000000
6819585,c105ca,8,15000000000,36863,552945000000000
6819581,c3e1ea,18,50000000000,21000,1050000000000000
6819257,3b6af2,11,62000000000,143081,8871022000000000
6819324,2d40a3,5,10000000000,21000,210000000000000
6819514,930afa,1,62000000000,143081,8871022000000000
6819611,269308,36,100000000000,36621,3662100000000000
6819522,9b5a5a,11,30000000000,21000,630000000000000
6819303,5c804b,10,100000000000,21000,2100000000000000
6819597,1f479a,3,20000000000,157708,3154160000000000
6819154,504bf3,16,71000000000,21000,1491000000000000
6819470,e9ce95,57,15000000000,47503,712545000000000
6819237,f3155d,-1,21000000000,36474,765954000000000
6819055,e81f15,46,1000000000,21000,21000000000000
6819540,3780ed,1,11700000000,138185,1616764500000000
6819138,c6ee2b,18,71000000000,21000,1491000000000000
6819011,d7ddd6,6,63500000000,21000,1333500000000000
6819417,5cab53,2,11000000000,51701,568711000000000
6819219,b4c16b,13,50000000000,50057,2502850000000000
6819529,25fa52,2,11700000000,138185,1616764500000000
6819261,11fc8d,8,62000000000,143081,8871022000000000
6819440,28959e,9,20000000000,21000,420000000000000
6819178,13fe64,26,44000000000,36289,1596716000000000
6819575,e51bf6,0,1000000000,21000,21000000000000
6819026,f0ce81,0,1000000000,21000,21000000000000
6819553,1206d3,14,12000000000,95411,1144932000000000
6819377,dff635,8,62000000000,143081,8871022000000000
6819223,bba717,3,71000000000,21000,1491000000000000
6819188,eb3d6f,17,31000000000,21000,651000000000000
6819477,501c6d,34,62000000000,143081,8871022000000000
6819077,9306b4,16,60000000000,21000,1260000000000000
6819571,a9706f,3,33343750000,37965,1265895468750000
6819009,b661e0,9,20000000000,51621,1032420000000000
6819244,b20c07,0,1000000000,21000,21000000000000
6819095,3d82a5,4,61900000100,21000,1299900002100000
6819263,7e5b29,8,62000000000,143081,8871022000000000
6819561,312d94,15,41000000000,39512,1619992000000000
6819397,aae5e5,5,15210000000,21000,319410000000000
